_element_key,_element_name,_element_type,_list_child_element_keys
hh_id,hh_id,string,[]
net_sleep_last_night,net_sleep_last_night,string,[]
net_used_other_purpose,net_used_other_purpose,string,[]
net_used_other_purpose_other,net_used_other_purpose_other,string,[]
obtain_net_how_long_ago,obtain_net_how_long_ago,string,[]
