extId,Country,District,Ward,Village,Hamlet
MAG,Tanzania,Rufiji DC,Mahege,Mahege,NA
NYO,Tanzania,Rufiji DC,Mahege,Nyakinyo,NA
NYJ,Tanzania,Rufiji DC,Mahege,Nyanjati,NA
TOM,Tanzania,Rufiji DC,Mahege,Tomoni,NA
KIC,Tanzania,Rufiji DC,Maparoni,Kiechuru,NA
MAA,Tanzania,Rufiji DC,Maparoni,Maparoni,NA
MBC,Tanzania,Rufiji DC,Mbuchi,Mbuchi,NA
MBB,Tanzania,Rufiji DC,Mbuchi,Mbwera Magharibi,NA
MBA,Tanzania,Rufiji DC,Mbuchi,Mbwera Mashariki,NA
BST,Tanzania,Rufiji DC,Mbwara,Kitapi,NA
MBR,Tanzania,Rufiji DC,Mbwara,Mbwara,NA
NAM,Tanzania,Rufiji DC,Mbwara,Nambunju,NA
NYW,Tanzania,Rufiji DC,Mbwara,Nyamwage,NA
TAW,Tanzania,Rufiji DC,Mbwara,Tawi,NA
MAI,Tanzania,Rufiji DC,Mchukwi,Mangwi,NA
MCM,Tanzania,Rufiji DC,Mchukwi,Mchukwi A,NA
MCI,Tanzania,Rufiji DC,Mchukwi,Mchukwi B,NA
MKK,Tanzania,Rufiji DC,Mchukwi,Mkupuka,NA
MGM,Tanzania,Rufiji DC,Mgomba,Mgomba Kaskazini,NA
MG ,Tanzania,Rufiji DC,Mgomba,Mgomba Kati,NA
MGI,Tanzania,Rufiji DC,Mgomba,Mgomba Kusini,NA
JAR,Tanzania,Rufiji DC,Mjawa,Jaribu Magharibi,NA
JAI,Tanzania,Rufiji DC,Mjawa,Jaribu Mpakani,NA
MJJ,Tanzania,Rufiji DC,Mjawa,Mjawa,NA
MOT,Tanzania,Rufiji DC,Mjawa,Motomoto,NA
NGN,Tanzania,Rufiji DC,Mjawa,Ngalengwa,NA
UCH,Tanzania,Rufiji DC,Mjawa,Uchembe,NA
UPO,Tanzania,Rufiji DC,Mjawa,Uponda,NA
MBI,Tanzania,Rufiji DC,Mkongo,Mbunju Mvuleni,NA
MK ,Tanzania,Rufiji DC,Mkongo,Mkongo Kaskazini,NA
MKN,Tanzania,Rufiji DC,Mkongo,Mkongo Kusini,NA
RUW,Tanzania,Rufiji DC,Mkongo,Ruwe,NA
MAC,Tanzania,Rufiji DC,Mlanzi,Machipi,NA
MLL,Tanzania,Rufiji DC,Mlanzi,Mlanzi,NA
NGG,Tanzania,Rufiji DC,Mlanzi,Ngondai,NA
NYB,Tanzania,Rufiji DC,Mlanzi,Nyamwimbe,NA
QAW,Tanzania,Rufiji DC,Mohoro,King'ong'o,NA
KIW,Tanzania,Rufiji DC,Mohoro,Kiwanga,NA
MOM,Tanzania,Rufiji DC,Mohoro,Mohoro Magharibi,NA
MOS,Tanzania,Rufiji DC,Mohoro,Mohoro Mashariki,NA
NDN,Tanzania,Rufiji DC,Mohoro,Ndundutawa,NA
SHE,Tanzania,Rufiji DC,Mohoro,Shela,NA
KIS,Tanzania,Rufiji DC,Msala,Kiasi,NA
MSS,Tanzania,Rufiji DC,Msala,Msala,NA
TWA,Tanzania,Rufiji DC,Msala,Twasalie,NA
BUM,Tanzania,Rufiji DC,Mtawanya,Bumba,NA
KIY,Tanzania,Rufiji DC,Mtawanya,Kinyanya Kati,NA
MAT,Tanzania,Rufiji DC,Mtawanya,Magogo matatu,NA
MAM,Tanzania,Rufiji DC,Mtawanya,Matumbi,NA
MIK,Tanzania,Rufiji DC,Mtawanya,Mikendo,NA
MSO,Tanzania,Rufiji DC,Mtawanya,Msoro,NA
NDE,Tanzania,Rufiji DC,Mtawanya,Ndechamula,NA
SFU,Tanzania,Rufiji DC,Mtawanya,Nyamlani,NA
ROJ,Tanzania,Rufiji DC,Mtawanya,Roja,NA
UGE,Tanzania,Rufiji DC,Mtawanya,Ugezi,NA
UMI,Tanzania,Rufiji DC,Mtawanya,Umikendo,NA
UMK,Tanzania,Rufiji DC,Mtawanya,Umkunama,NA
UPA,Tanzania,Rufiji DC,Mtawanya,Upazi,NA
ZOM,Tanzania,Rufiji DC,Mtawanya,Zomboko,NA
WTZ,Tanzania,Rufiji DC,Mtunda,Kikale,NA
MT ,Tanzania,Rufiji DC,Mtunda,Mtunda A,NA
MTM,Tanzania,Rufiji DC,Mtunda,Mtunda B,NA
MUY,Tanzania,Rufiji DC,Mtunda,Muyuyu,NA
KIU,Tanzania,Rufiji DC,Mwambao,Kigunguli,NA
KIV,Tanzania,Rufiji DC,Mwambao,"Kivinja ""A""",NA
KIJ,Tanzania,Rufiji DC,Mwambao,"Kivinja ""B""",NA
MCN,Tanzania,Rufiji DC,Mwambao,Mchungu,NA
MKE,Tanzania,Rufiji DC,Mwambao,Mkenda,NA
MSI,Tanzania,Rufiji DC,Mwambao,Msindaji,NA
MLO,Tanzania,Rufiji DC,Mwaseni,Mloka,NA
MTS,Tanzania,Rufiji DC,Mwaseni,Mtanza /Msona,NA
MWM,Tanzania,Rufiji DC,Mwaseni,Mwaseni,NA
KUN,Tanzania,Rufiji DC,Ngarambe,Kungulwe,NA
NAK,Tanzania,Rufiji DC,Ngarambe,Namakono,NA
NGI,Tanzania,Rufiji DC,Ngarambe,Ngarambe Mashariki,NA
NGE,Tanzania,Rufiji DC,Ngarambe,NgarambeMagharibi,NA
