_element_key,_element_name,_element_type,_list_child_element_keys
hh_id,hh_id,string,[]
latrine_shared,latrine_shared,string,[]
latrine_shared_num_hh,latrine_shared_num_hh,integer,[]
latrine_type,latrine_type,string,[]
latrine_type_specify,latrine_type_specify,string,[]
