_element_key,_element_name,_element_type,_list_child_element_keys
pigs_past_12_months,pigs_past_12_months,string,[]
pigs_slaughter,pigs_slaughter,string,[]
pigs_slaughter_month,pigs_slaughter_month,array,"[""pigs_slaughter_month_items""]"
pigs_slaughter_month_items,items,string,[]
pigs_wet_season_geopoint,pigs_wet_season_geopoint,geopoint,"[""pigs_wet_season_geopoint_accuracy"",""pigs_wet_season_geopoint_altitude"",""pigs_wet_season_geopoint_latitude"",""pigs_wet_season_geopoint_longitude""]"
pigs_wet_season_geopoint_accuracy,accuracy,number,[]
pigs_wet_season_geopoint_altitude,altitude,number,[]
pigs_wet_season_geopoint_latitude,latitude,number,[]
pigs_wet_season_geopoint_longitude,longitude,number,[]
snake_bite_who,snake_bite_who,array,"[""snake_bite_who_items""]"
snake_bite_who_items,items,string,[]
water_bodies,water_bodies,string,[]
water_bodies_num,water_bodies_num,integer,[]
weaned_cattle_confined,weaned_cattle_confined,string,[]
weaned_cattle_grazing,weaned_cattle_grazing,string,[]
weaned_cattle_grazing_water,weaned_cattle_grazing_water,string,[]
weaned_cattle_grazing_water_type,weaned_cattle_grazing_water_type,string,[]
weaned_cattle_wet_season,weaned_cattle_wet_season,string,[]
weaned_pigs_confined,weaned_pigs_confined,string,[]
weaned_pigs_grazing,weaned_pigs_grazing,string,[]
weaned_pigs_grazing_water,weaned_pigs_grazing_water,string,[]
weaned_pigs_grazing_water_type,weaned_pigs_grazing_water_type,string,[]
weaned_pigs_wet_season,weaned_pigs_wet_season,string,[]
where_cattle_dry_season,where_cattle_dry_season,string,[]
where_cattle_rainy_season,where_cattle_rainy_season,string,[]
where_pigs_dry_season,where_pigs_dry_season,string,[]
where_pigs_rainy_season,where_pigs_rainy_season,string,[]
